ID,BS0F1s_1,BS0F1s_2,BS0F1s_3,BS0F1s_4,BS0F2s_1,BS0F2s_2,BS0F2s_3,BS0F2s_4,BS1F1s_1,BS1F1s_2,BS1F1s_3,BS1F1s_4,BS1F2s_1,BS1F2s_2,BS1F2s_3,BS1F2s_4,DS0F1s_1,DS0F1s_2,DS0F1s_3,DS0F1s_4,DS0F2s_2,DS0F2s_3,DS0F2s_4,DS1F1s_1,DS1F1s_2,DS1F1s_3,DS1F1s_4,DS1F2s_1,DS1F2s_2,DS1F2s_3,DS1F2s_4,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_13886,0,3,2,4,0,0,0,5,0,1,0,4,1,0,0,3,0,1,2,0,1,1,1,0,1,2,1,0,0,2,0,0,1,0,0,0,1,2,1,1,1,1,2,0,5,2
OTU_13887,1,1,4,0,7,3,1,2,1,0,0,1,1,0,1,0,2,2,3,1,4,2,5,4,3,4,5,4,0,1,5,8,0,1,1,0,0,1,4,1,4,2,1,1,5,1
OTU_13888,0,4,2,2,0,2,1,4,1,0,2,2,1,1,2,2,0,2,2,1,0,0,2,0,0,6,3,2,1,4,2,0,2,3,4,0,1,3,0,0,1,1,2,1,2,1
OTU_13889,0,0,4,0,0,0,2,1,0,1,1,1,1,0,0,1,0,0,0,2,1,0,0,1,3,1,0,0,3,0,0,0,2,0,1,2,2,0,0,1,0,0,1,4,1,1
OTU_1389,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13890,1,2,1,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,3,2,4,0,1,0,3,1,1,0,1,0,1,4,0,0,0,0,1,2,0,0,1,0,0,2
OTU_13891,2,0,0,0,0,1,1,0,1,2,1,1,3,1,2,0,0,0,0,0,2,1,1,0,2,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,2,0,3,3,2,2
OTU_13892,1,1,1,0,0,1,0,5,1,0,0,1,0,0,2,2,0,1,1,2,0,0,1,0,1,2,2,0,2,0,2,0,0,0,1,0,3,2,1,0,2,1,1,1,3,1
OTU_13893,7,8,4,9,7,5,6,14,7,9,12,10,3,9,4,6,5,7,9,6,6,9,15,6,10,16,10,9,5,6,9,10,6,3,10,4,2,8,13,4,7,5,5,4,4,4
OTU_13894,5,4,1,0,3,0,1,1,3,5,0,0,2,5,0,1,3,1,0,1,2,1,1,3,3,1,1,1,8,3,2,5,2,1,1,3,3,1,0,1,2,0,1,1,0,0
OTU_13895,0,0,1,0,0,2,0,2,0,0,0,0,1,1,2,0,0,3,4,0,0,1,1,0,1,1,0,2,3,1,1,2,1,0,1,0,1,0,0,2,1,1,0,0,3,1
OTU_13896,6,2,4,3,0,2,1,0,1,3,0,2,1,3,0,1,0,1,3,3,1,3,1,1,2,1,1,1,0,0,2,6,0,3,0,5,3,0,0,2,0,0,2,1,0,0
OTU_13897,2,0,2,1,2,3,1,1,3,1,3,0,1,0,0,0,2,1,0,0,2,1,0,3,3,1,2,4,0,0,1,2,1,2,1,0,0,4,2,3,1,2,0,1,3,0
OTU_13898,1,2,3,2,6,3,0,0,2,1,1,1,1,2,2,2,0,0,0,1,0,2,2,1,0,2,1,1,1,0,0,0,3,0,1,0,0,3,0,0,1,2,1,0,0,0
OTU_13899,1,0,4,3,0,0,0,2,0,0,1,2,0,0,2,1,0,1,3,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
OTU_139,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0
OTU_1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13900,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13901,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,2,0,1,0,2,2,1,1,0,1,0,0,0,2,3,1,1,1,1,1,0,1,0
OTU_13902,0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,3,0,0,0,0
OTU_13903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13904,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,1,0,0,0,5,0,0,0,3,2,0,0,5,0,0
OTU_13905,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,2,0,4,2,1,2,2,3,2,0,3,1,0,1,1,2,1,1,0,3,1,1,4,2,0,2,3,3,0,0,2
OTU_13906,9,1,2,1,3,1,1,3,0,7,0,0,0,3,3,2,8,0,7,2,1,3,1,1,11,1,2,5,5,2,0,4,0,2,3,8,2,2,1,3,4,5,2,1,3,1
