s.BF	s.DF	s.TF	index	stat	p.value
OTU_3836	1	1	0	4	0.240085513000495	0.2393
OTU_3841	1	1	0	4	0.238951904455397	0.2614
OTU_3848	1	0	0	1	0.322536406949824	0.0698
OTU_3852	1	0	1	5	0.185207196886472	0.4385
OTU_3858	1	1	0	4	0.288102887637316	0.1166
OTU_3860	1	1	0	4	0.354050433711731	0.0336
OTU_3871	1	1	0	4	0.237963934105769	0.2529
OTU_3872	1	0	0	1	0.396368326590305	0.0131
OTU_3873	1	0	1	5	0.206085949517237	0.3911
OTU_3875	0	1	0	2	0.210565970566294	0.3337
OTU_3878	1	0	0	1	0.362374042239841	0.0118
OTU_389	0	0	1	3	0.273523892468422	0.1262
OTU_3890	1	1	0	4	0.308956462746302	0.085
OTU_3894	1	0	0	1	0.281565164991232	0.1161
OTU_3899	1	0	0	1	0.557890715393853	4e-04
OTU_3906	1	1	0	4	0.284114382158467	0.1174
OTU_3913	1	1	0	4	0.325343622813763	0.0605
OTU_3916	1	0	0	1	0.129364244660903	0.8334
OTU_392	1	0	0	1	0.160838322406476	0.5587
OTU_3922	1	1	0	4	0.305679841121834	0.0934
OTU_3928	1	1	0	4	0.321379751936069	0.0725
OTU_3934	0	1	0	2	0.246322484137469	0.1538
OTU_3935	0	1	0	2	0.322328553981227	0.0559
OTU_3948	1	0	0	1	0.267748878478773	0.1494
OTU_3956	1	0	0	1	0.251633247940886	0.2088
OTU_3971	1	0	0	1	0.400457810967749	0.0134
OTU_3973	1	0	0	1	0.233095370701521	0.2705
OTU_3976	1	1	0	4	0.363173429049542	0.0283
OTU_3977	0	1	0	2	0.16183559019649	0.5648
OTU_398	1	0	0	1	0.296993355545096	0.1012
OTU_3981	0	1	0	2	0.311782520527634	0.0564
OTU_3995	1	1	0	4	0.221868624970103	0.3244
OTU_3997	1	0	0	1	0.342553469233475	0.0369
OTU_4022	1	1	0	4	0.167932906395056	0.5143
OTU_4024	1	1	0	4	0.268099656259515	0.1626
OTU_4027	1	1	0	4	0.269010091237921	0.1704
OTU_4033	1	1	0	4	0.240399871286046	0.2329
OTU_4034	0	1	0	2	0.307766845442744	0.0777
OTU_4038	1	1	0	4	0.204071329173978	0.3899
OTU_4042	1	1	0	4	0.248069980596223	0.2065
OTU_4047	1	1	0	4	0.320125688855187	0.0646
OTU_408	1	0	0	1	0.380132846651481	0.0195
OTU_4089	0	1	0	2	0.128945334997598	0.669
